Representive Gene model,Sorghum homologs ID,Gene ID.1,Gene ID.2,Gene ID.3,Gene ID.4
Sspon.01G0000010,Sobic.001G542000,Sspon.01G0000010-1A,Sspon.01G0000010-2B,,Sspon.01G0000010-3D
Sspon.01G0000020,,Sspon.01G0000020-1A,,,
Sspon.01G0000030,Sobic.001G542100,Sspon.01G0000030-1A|Sspon.01G0000030-1P,Sspon.01G0000030-2B|Sspon.01G0000030-2P|Sspon.01G0000030-3P,Sspon.01G0000030-3C|Sspon.01G0000030-4P,Sspon.01G0000030-4D|Sspon.01G0000030-5P|Sspon.01G0000030-1T
Sspon.01G0000040,Sobic.001G105800,Sspon.01G0000040-1A,Sspon.01G0000040-2B,,
Sspon.01G0000050,Sobic.001G542300,Sspon.01G0000050-1A|Sspon.01G0000050-1P,Sspon.01G0000050-2B,,
Sspon.01G0000060,Sobic.001G542400,Sspon.01G0000060-1A,Sspon.01G0000060-2B,Sspon.01G0000060-3C,Sspon.01G0000060-4D|Sspon.01G0000060-1P
Sspon.01G0000070,Sobic.001G544600,Sspon.01G0000070-1A,,Sspon.01G0000070-2C,
Sspon.01G0000080,Sobic.001G544500,Sspon.01G0000080-1A|Sspon.01G0000080-1P,,Sspon.01G0000080-2C,
Sspon.01G0000090,Sobic.001G543900,Sspon.01G0000090-1A|Sspon.01G0000090-1P,,,Sspon.01G0000090-2D
Sspon.01G0000100,Sobic.001G543800,Sspon.01G0000100-1A|Sspon.01G0000100-1P,,,Sspon.01G0000100-2D
Sspon.01G0000110,Sobic.001G543700,Sspon.01G0000110-1A|Sspon.01G0000110-1P,,,Sspon.01G0000110-2D
Sspon.01G0000120,Sobic.001G544300,Sspon.01G0000120-1A,,Sspon.01G0000120-2C,
Sspon.01G0000130,,Sspon.01G0000130-1A,,,
Sspon.01G0000140,Sobic.001G544100,Sspon.01G0000140-1A,,,Sspon.01G0000140-2D
Sspon.01G0000150,Sobic.001G543500,Sspon.01G0000150-1A,Sspon.01G0000150-2B,,Sspon.01G0000150-3D
Sspon.01G0000160,Sobic.001G543300,Sspon.01G0000160-1A,,,Sspon.01G0000160-2D
Sspon.01G0000170,Sobic.001G543200,Sspon.01G0000170-1A,,,Sspon.01G0000170-2D
Sspon.01G0000180,Sobic.001G542900,Sspon.01G0000180-1A|Sspon.01G0000180-1P,,,
Sspon.01G0000190,Sobic.001G542800,Sspon.01G0000190-1A|Sspon.01G0000190-1P,,,Sspon.01G0000190-2D
Sspon.01G0000200,Sobic.001G542700,Sspon.01G0000200-1A,,,Sspon.01G0000200-2D
Sspon.01G0000210,Sobic.001G542600,Sspon.01G0000210-1A|Sspon.01G0000210-1P,Sspon.01G0000210-2B,,Sspon.01G0000210-3D
Sspon.01G0000220,,Sspon.01G0000220-1A,,,
Sspon.01G0000230,Sobic.001G541900,Sspon.01G0000230-1A|Sspon.01G0000230-1P,Sspon.01G0000230-2B|Sspon.01G0000230-2P,Sspon.01G0000230-3C,Sspon.01G0000230-4D|Sspon.01G0000230-3P
